tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Ronald Shusett,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Ronald Shusett,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Ronald Shusett,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Ronald Shusett,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Ronald Shusett,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Ronald Shusett,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Ronald Shusett,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Ronald Shusett,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Ronald Shusett,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dan O'Bannon,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dan O'Bannon,Danny McBride
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dan O'Bannon,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dan O'Bannon,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dan O'Bannon,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dan O'Bannon,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dan O'Bannon,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dan O'Bannon,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dan O'Bannon,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Michael Green,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Michael Green,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Michael Green,Danny McBride
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Michael Green,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Michael Green,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Michael Green,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Michael Green,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Michael Green,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Michael Green,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Michael Green,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Michael Green,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Michael Green,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,John Logan,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,John Logan,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,John Logan,Danny McBride
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,John Logan,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,John Logan,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,John Logan,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,John Logan,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,John Logan,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,John Logan,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,John Logan,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,John Logan,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,John Logan,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Jack Paglen,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Jack Paglen,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Jack Paglen,Danny McBride
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Jack Paglen,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Jack Paglen,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Jack Paglen,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Jack Paglen,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Jack Paglen,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Jack Paglen,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Jack Paglen,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Jack Paglen,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Jack Paglen,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dante Harper,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dante Harper,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dante Harper,Danny McBride
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Dante Harper,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dante Harper,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dante Harper,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dante Harper,Danny McBride
tt2316204,Alien: Covenant,2017,122,Sci-Fi,Ridley Scott,Dante Harper,Katherine Waterston
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dante Harper,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dante Harper,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dante Harper,Danny McBride
tt2316204,Alien: Covenant,2017,122,Thriller,Ridley Scott,Dante Harper,Katherine Waterston
tt1663202,The Revenant,2015,156,Action,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Adventure,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Drama,Alejandro G. Iñárritu,Alejandro G. Iñárritu,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Action,Alejandro G. Iñárritu,Mark L. Smith,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Adventure,Alejandro G. Iñárritu,Mark L. Smith,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Drama,Alejandro G. Iñárritu,Mark L. Smith,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Action,Alejandro G. Iñárritu,Michael Punke,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Adventure,Alejandro G. Iñárritu,Michael Punke,Leonardo DiCaprio
tt1663202,The Revenant,2015,156,Drama,Alejandro G. Iñárritu,Michael Punke,Leonardo DiCaprio
tt0959337,Revolutionary Road,2008,119,Drama,Sam Mendes,Richard Yates,Leonardo DiCaprio
tt0959337,Revolutionary Road,2008,119,Romance,Sam Mendes,Richard Yates,Leonardo DiCaprio
tt0959337,Revolutionary Road,2008,119,Drama,Sam Mendes,Justin Haythe,Leonardo DiCaprio
tt0959337,Revolutionary Road,2008,119,Romance,Sam Mendes,Justin Haythe,Leonardo DiCaprio
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Warren Lewis,Ken Takakura
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Warren Lewis,Michael Douglas
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Warren Lewis,Kate Capshaw
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Warren Lewis,Andy Garcia
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Warren Lewis,Ken Takakura
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Warren Lewis,Michael Douglas
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Warren Lewis,Kate Capshaw
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Warren Lewis,Andy Garcia
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Warren Lewis,Ken Takakura
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Warren Lewis,Michael Douglas
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Warren Lewis,Kate Capshaw
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Warren Lewis,Andy Garcia
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Craig Bolotin,Ken Takakura
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Craig Bolotin,Michael Douglas
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Craig Bolotin,Kate Capshaw
tt0096933,Black Rain,1989,125,Action,Ridley Scott,Craig Bolotin,Andy Garcia
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Craig Bolotin,Ken Takakura
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Craig Bolotin,Michael Douglas
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Craig Bolotin,Kate Capshaw
tt0096933,Black Rain,1989,125,Crime,Ridley Scott,Craig Bolotin,Andy Garcia
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Craig Bolotin,Ken Takakura
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Craig Bolotin,Michael Douglas
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Craig Bolotin,Kate Capshaw
tt0096933,Black Rain,1989,125,Thriller,Ridley Scott,Craig Bolotin,Andy Garcia
